Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       Egz.
Vardas61654         Pavarde61654        1         1         6         4         9         4         9         6         1
Vardas61655         Pavarde61655        9         7         4         6         7         1         8         6         3
Vardas61656         Pavarde61656        5         3         8         8         5         7         9         4         5
Vardas61657         Pavarde61657        10        8         6         1         9         2         9         5         7
Vardas61658         Pavarde61658        9         3         9         9         7         10        5         10        6
Vardas61659         Pavarde61659        6         7         5         1         8         9         3         8         10
Vardas61660         Pavarde61660        9         4         7         4         5         3         8         1         10
Vardas61661         Pavarde61661        10        5         3         2         6         9         7         9         3
Vardas61662         Pavarde61662        10        8         3         9         2         5         10        10        1
Vardas61663         Pavarde61663        1         6         4         3         7         10        10        9         3
Vardas61664         Pavarde61664        7         3         5         2         5         10        9         7         10
Vardas61665         Pavarde61665        6         7         1         7         9         2         10        1         10
Vardas61666         Pavarde61666        7         3         8         6         8         7         6         2         7
Vardas61667         Pavarde61667        8         4         5         1         7         1         9         1         8
Vardas61668         Pavarde61668        4         2         4         2         9         6         4         7         1
Vardas61669         Pavarde61669        7         2         6         2         3         7         5         5         7
Vardas61670         Pavarde61670        8         9         2         4         2         2         8         8         4
Vardas61671         Pavarde61671        1         9         4         1         9         9         4         10        1
Vardas61672         Pavarde61672        6         1         10        3         9         9         5         8         6
Vardas61673         Pavarde61673        5         1         5         2         2         9         8         4         6
Vardas61674         Pavarde61674        7         1         2         2         1         10        3         3         6
Vardas61675         Pavarde61675        1         8         2         1         6         2         9         5         4
Vardas61676         Pavarde61676        4         4         5         3         10        10        1         1         5
Vardas61677         Pavarde61677        3         10        8         8         5         4         1         3         7
Vardas61678         Pavarde61678        7         1         1         5         8         3         9         3         10
Vardas61679         Pavarde61679        1         8         7         9         7         7         5         8         2
Vardas61680         Pavarde61680        3         1         9         9         3         8         7         3         1
Vardas61681         Pavarde61681        1         6         9         5         8         7         1         1         6
Vardas61682         Pavarde61682        8         9         4         6         2         8         10        1         2
Vardas61683         Pavarde61683        1         1         9         7         5         10        1         10        5
Vardas61684         Pavarde61684        4         6         3         3         4         2         7         3         3
Vardas61685         Pavarde61685        10        9         10        10        4         4         5         3         1
Vardas61686         Pavarde61686        1         8         5         5         2         6         9         9         10
Vardas61687         Pavarde61687        10        3         9         9         7         1         1         7         2
Vardas61688         Pavarde61688        10        8         7         7         2         3         4         7         3
Vardas61689         Pavarde61689        5         3         10        2         7         5         8         10        7
Vardas61690         Pavarde61690        2         2         6         5         3         7         1         7         1
Vardas61691         Pavarde61691        8         3         8         3         4         8         3         10        3
Vardas61692         Pavarde61692        1         2         6         10        6         3         4         5         7
Vardas61693         Pavarde61693        8         7         8         5         3         5         1         10        2
Vardas61694         Pavarde61694        5         9         7         1         2         7         9         8         8
Vardas61695         Pavarde61695        10        10        9         4         6         9         10        2         6
Vardas61696         Pavarde61696        5         7         10        1         3         10        8         6         7
Vardas61697         Pavarde61697        6         5         8         6         10        5         10        2         10
Vardas61698         Pavarde61698        4         3         9         10        7         4         9         7         3
Vardas61699         Pavarde61699        10        2         10        3         3         6         1         3         2
Vardas61700         Pavarde61700        9         5         8         9         10        7         1         5         2
Vardas61701         Pavarde61701        5         6         3         8         3         7         4         5         9
Vardas61702         Pavarde61702        7         3         3         7         2         6         5         2         8
Vardas61703         Pavarde61703        4         8         4         10        2         7         9         10        9
Vardas61704         Pavarde61704        8         6         7         10        10        6         5         6         2
Vardas61705         Pavarde61705        1         2         4         9         7         9         6         10        8
Vardas61706         Pavarde61706        3         3         3         8         8         5         6         8         7
Vardas61707         Pavarde61707        2         8         1         9         1         5         10        10        10
Vardas61708         Pavarde61708        10        5         1         2         6         7         4         1         9
Vardas61709         Pavarde61709        5         7         5         10        1         2         5         10        4
Vardas61710         Pavarde61710        1         8         2         4         7         6         6         10        3
Vardas61711         Pavarde61711        4         10        9         8         5         6         2         4         10
Vardas61712         Pavarde61712        10        7         10        8         2         5         5         3         5
Vardas61713         Pavarde61713        9         6         5         1         6         6         1         4         1
Vardas61714         Pavarde61714        10        3         3         10        9         9         6         4         1
Vardas61715         Pavarde61715        5         9         1         3         7         2         6         4         10
Vardas61716         Pavarde61716        6         9         3         9         1         6         2         1         1
Vardas61717         Pavarde61717        10        4         8         5         4         8         2         5         1
Vardas61718         Pavarde61718        6         9         8         3         1         10        6         6         6
Vardas61719         Pavarde61719        1         10        6         4         4         10        3         1         1
Vardas61720         Pavarde61720        1         2         5         10        8         2         4         10        6
Vardas61721         Pavarde61721        7         7         3         3         10        10        10        2         1
Vardas61722         Pavarde61722        7         4         4         2         8         8         2         2         3
Vardas61723         Pavarde61723        10        10        1         4         10        2         4         9         6
Vardas61724         Pavarde61724        8         2         1         9         6         10        10        5         5
Vardas61725         Pavarde61725        8         3         10        9         8         10        1         4         7
Vardas61726         Pavarde61726        3         3         5         10        7         5         7         5         4
Vardas61727         Pavarde61727        8         5         2         6         2         4         8         10        2
Vardas61728         Pavarde61728        6         7         5         5         8         2         4         8         4
Vardas61729         Pavarde61729        6         2         2         3         7         4         6         6         8
Vardas61730         Pavarde61730        3         6         2         1         2         5         4         4         10
Vardas61731         Pavarde61731        3         5         10        1         9         8         3         2         10
Vardas61732         Pavarde61732        2         1         9         10        1         9         10        2         2
Vardas61733         Pavarde61733        4         6         5         10        3         1         2         8         6
Vardas61734         Pavarde61734        7         9         2         3         8         10        6         6         8
Vardas61735         Pavarde61735        5         1         2         7         6         5         10        9         5
Vardas61736         Pavarde61736        5         8         7         5         5         4         10        1         1
Vardas61737         Pavarde61737        8         4         10        1         7         6         4         4         4
Vardas61738         Pavarde61738        8         8         5         5         1         8         5         6         8
Vardas61739         Pavarde61739        1         7         7         3         8         9         6         9         1
Vardas61740         Pavarde61740        8         8         9         2         5         6         7         7         8
Vardas61741         Pavarde61741        3         2         1         5         4         1         7         7         7
Vardas61742         Pavarde61742        6         3         3         7         5         9         7         1         9
Vardas61743         Pavarde61743        4         8         3         3         9         10        6         3         10
Vardas61744         Pavarde61744        9         8         4         8         5         9         10        4         9
Vardas61745         Pavarde61745        7         6         1         4         6         3         7         9         1
Vardas61746         Pavarde61746        9         1         10        9         10        3         4         6         7
Vardas61747         Pavarde61747        4         7         5         5         2         5         9         7         3
Vardas61748         Pavarde61748        1         2         4         8         8         8         6         5         9
Vardas61749         Pavarde61749        9         8         6         5         10        4         6         5         8
Vardas61750         Pavarde61750        4         9         5         10        2         1         2         5         4
Vardas61751         Pavarde61751        6         7         1         5         6         8         6         1         8
Vardas61752         Pavarde61752        2         10        10        1         7         1         3         6         6
Vardas61753         Pavarde61753        4         2         2         2         2         5         3         2         10
Vardas61754         Pavarde61754        9         5         4         5         8         10        2         5         2
Vardas61755         Pavarde61755        8         10        8         3         6         5         8         3         10
Vardas61756         Pavarde61756        9         8         3         3         9         2         4         6         7
Vardas61757         Pavarde61757        2         9         3         7         3         1         8         4         1
Vardas61758         Pavarde61758        5         6         6         5         10        8         8         3         10
Vardas61759         Pavarde61759        2         5         3         9         9         7         8         3         6
Vardas61760         Pavarde61760        1         8         9         5         1         5         4         8         10
Vardas61761         Pavarde61761        10        2         3         4         5         7         7         4         1
Vardas61762         Pavarde61762        5         6         1         10        7         3         7         5         1
Vardas61763         Pavarde61763        2         8         9         4         2         7         4         8         7
Vardas61764         Pavarde61764        2         3         2         5         7         5         9         7         1
Vardas61765         Pavarde61765        10        9         1         5         9         6         10        3         10
Vardas61766         Pavarde61766        6         6         6         5         4         5         1         7         3
Vardas61767         Pavarde61767        2         7         10        1         5         6         8         2         8
Vardas61768         Pavarde61768        4         10        4         2         7         5         1         4         1
Vardas61769         Pavarde61769        10        1         6         6         3         3         5         2         4
Vardas61770         Pavarde61770        7         3         9         7         3         2         10        3         4
Vardas61771         Pavarde61771        2         2         8         3         2         6         10        9         5
Vardas61772         Pavarde61772        4         8         8         5         3         10        9         5         10
Vardas61773         Pavarde61773        8         7         7         2         1         10        7         8         7
Vardas61774         Pavarde61774        10        1         6         9         2         8         10        5         9
Vardas61775         Pavarde61775        9         6         1         4         9         2         1         9         10
Vardas61776         Pavarde61776        2         2         10        2         8         7         10        8         5
Vardas61777         Pavarde61777        1         7         1         1         7         7         9         2         2
Vardas61778         Pavarde61778        1         3         1         10        5         4         8         2         7
Vardas61779         Pavarde61779        4         9         6         4         6         4         4         3         10
Vardas61780         Pavarde61780        8         1         5         5         5         10        3         5         7
Vardas61781         Pavarde61781        7         10        3         5         2         3         9         4         1
Vardas61782         Pavarde61782        10        7         8         2         6         7         1         8         4
Vardas61783         Pavarde61783        9         8         6         1         5         6         5         3         4
Vardas61784         Pavarde61784        1         10        10        9         2         5         1         4         7
Vardas61785         Pavarde61785        7         8         8         8         10        4         6         1         4
Vardas61786         Pavarde61786        3         1         2         2         1         3         9         2         6
Vardas61787         Pavarde61787        6         2         6         5         5         2         9         10        5
Vardas61788         Pavarde61788        1         5         4         4         8         3         7         6         9
Vardas61789         Pavarde61789        5         8         2         1         1         1         4         4         8
Vardas61790         Pavarde61790        9         6         1         2         2         8         6         10        5
Vardas61791         Pavarde61791        3         1         5         2         2         7         2         9         8
Vardas61792         Pavarde61792        3         10        6         6         2         4         1         7         9
Vardas61793         Pavarde61793        7         3         6         4         4         9         8         9         4
Vardas61794         Pavarde61794        6         10        5         1         2         4         10        3         7
Vardas61795         Pavarde61795        8         10        2         9         3         3         7         5         3
Vardas61796         Pavarde61796        4         7         9         7         3         1         2         8         5
Vardas61797         Pavarde61797        9         6         8         6         8         9         9         1         8
Vardas61798         Pavarde61798        2         9         6         4         2         1         3         5         6
Vardas61799         Pavarde61799        1         3         2         1         5         1         10        9         10
Vardas61800         Pavarde61800        4         7         4         8         7         2         4         2         9
Vardas61801         Pavarde61801        7         8         2         6         8         3         7         10        10
Vardas61802         Pavarde61802        8         2         2         6         4         5         1         2         5
Vardas61803         Pavarde61803        3         7         9         3         3         7         3         7         3
Vardas61804         Pavarde61804        5         10        9         9         3         6         8         8         1
Vardas61805         Pavarde61805        8         6         8         4         1         10        6         3         5
Vardas61806         Pavarde61806        1         4         8         6         10        8         8         1         1
Vardas61807         Pavarde61807        6         7         3         9         4         2         5         4         9
Vardas61808         Pavarde61808        6         8         9         7         1         6         2         1         2
Vardas61809         Pavarde61809        3         8         2         6         8         6         8         5         2
Vardas61810         Pavarde61810        8         1         7         3         10        2         6         5         7
Vardas61811         Pavarde61811        4         7         10        10        9         3         1         3         6
Vardas61812         Pavarde61812        1         7         4         9         6         1         4         3         6
Vardas61813         Pavarde61813        3         6         8         8         7         8         10        1         3
Vardas61814         Pavarde61814        5         6         2         8         2         4         10        3         5
Vardas61815         Pavarde61815        7         2         3         1         6         3         9         10        7
Vardas61816         Pavarde61816        8         9         4         2         4         2         8         5         2
Vardas61817         Pavarde61817        8         7         6         8         1         6         1         10        6
Vardas61818         Pavarde61818        6         10        9         1         2         6         1         10        1
Vardas61819         Pavarde61819        10        6         10        2         8         2         10        3         8
Vardas61820         Pavarde61820        2         9         3         10        7         6         9         2         10
Vardas61821         Pavarde61821        6         10        5         10        8         5         5         8         9
Vardas61822         Pavarde61822        5         6         10        6         4         7         6         4         2
Vardas61823         Pavarde61823        7         7         2         8         10        5         5         7         5
Vardas61824         Pavarde61824        10        9         10        6         6         2         7         4         1
Vardas61825         Pavarde61825        10        2         4         6         10        8         3         5         4
Vardas61826         Pavarde61826        8         9         9         3         5         3         3         3         10
Vardas61827         Pavarde61827        6         10        1         3         7         2         6         3         7
Vardas61828         Pavarde61828        6         3         2         1         9         5         3         7         7
Vardas61829         Pavarde61829        8         7         1         4         9         10        7         4         4
Vardas61830         Pavarde61830        3         2         5         5         6         6         2         3         2
Vardas61831         Pavarde61831        2         8         7         4         9         2         2         7         1
Vardas61832         Pavarde61832        4         10        10        9         8         1         8         4         8
Vardas61833         Pavarde61833        6         5         1         7         5         6         4         4         4
Vardas61834         Pavarde61834        3         6         4         5         2         4         8         4         9
Vardas61835         Pavarde61835        6         8         4         7         9         8         7         1         4
Vardas61836         Pavarde61836        2         8         9         8         7         6         5         4         7
Vardas61837         Pavarde61837        2         8         5         2         2         4         3         9         10
Vardas61838         Pavarde61838        1         8         8         5         7         8         4         1         8
Vardas61839         Pavarde61839        3         2         10        4         4         4         2         7         4
Vardas61840         Pavarde61840        1         8         8         6         1         4         8         9         5
Vardas61841         Pavarde61841        5         2         7         1         3         7         8         1         7
Vardas61842         Pavarde61842        1         8         2         10        3         7         7         8         10
Vardas61843         Pavarde61843        9         4         5         10        5         4         8         8         8
Vardas61844         Pavarde61844        6         10        2         2         9         5         3         8         6
Vardas61845         Pavarde61845        10        5         8         6         9         5         5         9         8
Vardas61846         Pavarde61846        2         3         5         10        6         5         6         3         9
Vardas61847         Pavarde61847        1         10        9         9         10        7         1         7         10
Vardas61848         Pavarde61848        8         6         2         1         4         3         10        6         5
Vardas61849         Pavarde61849        1         6         10        4         7         7         4         1         6
Vardas61850         Pavarde61850        10        3         4         1         9         10        10        1         2
Vardas61851         Pavarde61851        8         6         2         5         1         5         3         5         7
Vardas61852         Pavarde61852        7         9         10        9         5         6         1         3         10
Vardas61853         Pavarde61853        5         6         9         1         4         4         10        3         8
Vardas61854         Pavarde61854        4         3         9         7         4         3         7         5         5
Vardas61855         Pavarde61855        2         4         5         2         3         3         7         10        7
Vardas61856         Pavarde61856        9         4         10        10        5         4         8         6         9
Vardas61857         Pavarde61857        8         8         4         5         7         2         8         5         7
Vardas61858         Pavarde61858        6         6         6         8         2         2         4         7         9
Vardas61859         Pavarde61859        7         8         2         8         6         4         6         8         10
Vardas61860         Pavarde61860        3         2         5         4         1         4         10        8         1
Vardas61861         Pavarde61861        7         1         8         9         8         3         10        6         8
Vardas61862         Pavarde61862        5         5         8         10        1         7         2         9         1
Vardas61863         Pavarde61863        2         2         5         3         8         10        1         2         8
Vardas61864         Pavarde61864        3         10        9         9         1         3         8         9         10
Vardas61865         Pavarde61865        4         5         6         8         9         10        2         7         10
Vardas61866         Pavarde61866        3         4         6         4         7         4         6         1         8
Vardas61867         Pavarde61867        10        2         6         10        9         6         6         9         6
Vardas61868         Pavarde61868        2         2         8         1         9         8         3         8         5
Vardas61869         Pavarde61869        8         5         1         6         3         1         3         7         4
Vardas61870         Pavarde61870        3         6         5         5         4         5         5         4         2
Vardas61871         Pavarde61871        7         5         4         3         3         6         4         2         3
Vardas61872         Pavarde61872        5         9         6         10        2         6         1         5         6
Vardas61873         Pavarde61873        1         9         1         7         7         4         3         1         4
Vardas61874         Pavarde61874        2         2         4         10        8         1         9         1         1
Vardas61875         Pavarde61875        10        8         3         5         3         8         10        2         8
Vardas61876         Pavarde61876        8         10        5         7         5         9         7         10        3
Vardas61877         Pavarde61877        7         10        2         2         9         10        2         9         3
Vardas61878         Pavarde61878        10        4         8         2         2         8         5         7         4
Vardas61879         Pavarde61879        5         2         3         3         8         6         2         7         4
Vardas61880         Pavarde61880        6         6         10        1         4         1         6         5         7
Vardas61881         Pavarde61881        1         4         6         2         1         6         10        3         1
Vardas61882         Pavarde61882        5         4         2         6         5         10        5         10        4
Vardas61883         Pavarde61883        9         10        2         1         1         4         10        6         7
Vardas61884         Pavarde61884        8         1         9         1         6         3         3         9         8
Vardas61885         Pavarde61885        4         4         10        8         9         1         10        1         6
Vardas61886         Pavarde61886        7         2         5         3         2         5         2         3         7
Vardas61887         Pavarde61887        10        5         4         6         8         9         1         10        1
Vardas61888         Pavarde61888        5         4         5         3         6         4         8         5         3
Vardas61889         Pavarde61889        3         10        5         1         6         9         10        1         9
Vardas61890         Pavarde61890        5         10        10        2         2         1         9         10        6
Vardas61891         Pavarde61891        9         6         4         3         9         8         8         5         9
Vardas61892         Pavarde61892        5         6         7         4         2         8         8         10        9
Vardas61893         Pavarde61893        7         2         10        4         6         4         8         2         1
Vardas61894         Pavarde61894        8         7         7         2         4         9         3         5         9
Vardas61895         Pavarde61895        6         7         4         4         3         1         6         1         3
Vardas61896         Pavarde61896        9         9         2         4         3         4         10        3         6
Vardas61897         Pavarde61897        3         4         1         1         10        3         1         1         6
Vardas61898         Pavarde61898        10        9         8         5         1         10        1         10        9
Vardas61899         Pavarde61899        7         5         5         7         2         4         2         5         3
Vardas61900         Pavarde61900        7         6         1         7         1         8         6         2         3
Vardas61901         Pavarde61901        9         8         8         8         8         1         8         7         9
Vardas61902         Pavarde61902        2         8         2         8         9         1         2         8         6
Vardas61903         Pavarde61903        6         9         5         9         2         6         10        1         7
Vardas61904         Pavarde61904        5         6         4         10        2         9         10        8         9
Vardas61905         Pavarde61905        1         2         2         10        3         1         10        1         6
Vardas61906         Pavarde61906        9         8         3         5         1         5         9         6         10
Vardas61907         Pavarde61907        9         2         4         6         3         3         5         5         5
Vardas61908         Pavarde61908        8         8         9         2         2         10        8         9         8
Vardas61909         Pavarde61909        2         8         4         8         1         10        4         3         7
Vardas61910         Pavarde61910        4         7         8         8         1         10        7         4         5
Vardas61911         Pavarde61911        6         1         4         8         4         6         3         1         7
Vardas61912         Pavarde61912        9         2         10        2         8         2         3         8         10
Vardas61913         Pavarde61913        4         5         7         6         9         10        9         8         3
Vardas61914         Pavarde61914        5         3         4         4         4         9         7         4         7
Vardas61915         Pavarde61915        7         3         7         2         7         2         4         2         5
Vardas61916         Pavarde61916        3         1         7         4         9         7         8         6         3
Vardas61917         Pavarde61917        1         9         4         4         7         7         8         3         10
Vardas61918         Pavarde61918        7         3         1         4         4         3         4         6         6
Vardas61919         Pavarde61919        6         2         10        4         4         6         9         1         8
Vardas61920         Pavarde61920        2         9         2         5         1         8         10        8         1
Vardas61921         Pavarde61921        9         10        1         8         8         9         1         8         1
Vardas61922         Pavarde61922        6         6         9         9         2         3         1         6         8
Vardas61923         Pavarde61923        1         2         8         3         8         8         10        5         2
Vardas61924         Pavarde61924        8         6         4         3         8         9         5         1         6
Vardas61925         Pavarde61925        4         7         8         2         4         8         8         4         4
Vardas61926         Pavarde61926        8         1         3         10        5         8         10        7         8
Vardas61927         Pavarde61927        6         1         5         5         3         8         7         4         7
Vardas61928         Pavarde61928        2         8         6         5         9         9         2         8         6
Vardas61929         Pavarde61929        1         9         8         7         7         7         9         8         3
Vardas61930         Pavarde61930        3         1         4         4         3         4         2         3         5
Vardas61931         Pavarde61931        1         10        10        2         9         7         7         5         4
Vardas61932         Pavarde61932        5         1         3         6         5         4         7         1         5
Vardas61933         Pavarde61933        3         3         3         9         3         7         1         10        6
Vardas61934         Pavarde61934        5         1         6         6         6         4         7         3         3
Vardas61935         Pavarde61935        5         5         6         10        5         8         6         8         1
Vardas61936         Pavarde61936        6         1         7         7         2         5         3         3         9
Vardas61937         Pavarde61937        7         8         10        7         8         10        3         6         4
Vardas61938         Pavarde61938        2         9         8         9         6         8         2         7         3
Vardas61939         Pavarde61939        3         6         4         6         6         7         7         1         2
Vardas61940         Pavarde61940        5         4         8         3         3         5         7         3         4
Vardas61941         Pavarde61941        6         7         9         6         3         5         7         2         6
Vardas61942         Pavarde61942        1         8         7         6         3         8         4         3         4
Vardas61943         Pavarde61943        3         10        6         7         4         4         3         6         9
Vardas61944         Pavarde61944        9         1         4         3         7         10        8         1         8
Vardas61945         Pavarde61945        5         2         5         2         5         1         1         6         7
Vardas61946         Pavarde61946        9         10        5         4         2         6         6         9         9
Vardas61947         Pavarde61947        6         4         1         4         6         2         8         8         7
Vardas61948         Pavarde61948        2         6         10        4         8         9         2         10        3
Vardas61949         Pavarde61949        7         5         7         8         5         4         5         4         5
Vardas61950         Pavarde61950        8         3         9         1         5         4         7         9         4
Vardas61951         Pavarde61951        1         2         8         4         3         1         9         10        5
Vardas61952         Pavarde61952        2         8         1         9         8         10        5         1         7
Vardas61953         Pavarde61953        7         8         4         2         7         3         8         4         8
Vardas61954         Pavarde61954        9         2         1         2         9         3         7         7         5
Vardas61955         Pavarde61955        9         9         1         3         10        9         7         9         4
Vardas61956         Pavarde61956        2         2         5         1         5         8         6         8         10
Vardas61957         Pavarde61957        2         10        1         5         2         6         3         4         6
Vardas61958         Pavarde61958        8         7         4         8         10        10        6         5         7
Vardas61959         Pavarde61959        2         10        2         9         5         10        1         6         5
Vardas61960         Pavarde61960        4         7         3         7         1         9         4         6         9
Vardas61961         Pavarde61961        6         8         7         9         9         10        10        4         5
Vardas61962         Pavarde61962        10        7         2         9         8         9         3         6         10
Vardas61963         Pavarde61963        10        1         1         2         2         7         5         8         2
Vardas61964         Pavarde61964        9         4         9         10        6         10        2         3         6
Vardas61965         Pavarde61965        10        10        4         9         7         9         9         7         8
Vardas61966         Pavarde61966        6         2         7         10        4         8         3         10        7
Vardas61967         Pavarde61967        6         8         7         9         8         5         7         2         8
Vardas61968         Pavarde61968        2         1         8         9         8         7         9         3         4
Vardas61969         Pavarde61969        3         5         6         5         5         2         3         4         5
Vardas61970         Pavarde61970        1         10        9         6         4         10        8         4         9
Vardas61971         Pavarde61971        6         10        4         9         10        8         9         9         9
Vardas61972         Pavarde61972        3         8         6         5         7         6         9         4         9
Vardas61973         Pavarde61973        2         2         10        3         9         4         10        5         6
Vardas61974         Pavarde61974        5         5         2         5         2         1         7         8         6
Vardas61975         Pavarde61975        6         2         10        7         5         2         6         2         3
Vardas61976         Pavarde61976        6         1         9         1         4         5         8         4         4
Vardas61977         Pavarde61977        6         1         1         5         9         8         4         3         10
Vardas61978         Pavarde61978        10        7         7         7         8         6         7         2         8
Vardas61979         Pavarde61979        6         6         8         7         9         1         10        5         8
Vardas61980         Pavarde61980        5         8         4         6         4         4         5         3         5
Vardas61981         Pavarde61981        4         3         4         2         5         5         6         3         2
Vardas61982         Pavarde61982        7         5         1         3         2         10        3         1         9
Vardas61983         Pavarde61983        6         4         3         6         3         6         10        1         6
Vardas61984         Pavarde61984        9         1         7         8         9         6         1         6         10
Vardas61985         Pavarde61985        2         5         2         10        5         3         10        2         6
Vardas61986         Pavarde61986        7         10        9         9         8         4         8         8         4
Vardas61987         Pavarde61987        9         8         3         2         6         2         9         7         2
Vardas61988         Pavarde61988        4         4         3         4         3         5         2         7         10
Vardas61989         Pavarde61989        5         4         9         1         7         6         6         2         4
Vardas61990         Pavarde61990        10        2         6         1         5         8         7         2         9
Vardas61991         Pavarde61991        6         10        7         3         5         1         8         3         6
Vardas61992         Pavarde61992        9         8         1         10        9         10        9         2         9
Vardas61993         Pavarde61993        5         5         2         5         8         8         4         8         7
Vardas61994         Pavarde61994        8         10        2         7         7         10        2         2         2
Vardas61995         Pavarde61995        7         3         9         7         10        8         6         6         1
Vardas61996         Pavarde61996        4         7         10        8         6         9         6         10        7
Vardas61997         Pavarde61997        5         9         4         1         6         7         10        2         5
Vardas61998         Pavarde61998        8         6         10        9         2         1         2         4         5
Vardas61999         Pavarde61999        6         7         9         3         8         10        6         2         1
Vardas62000         Pavarde62000        10        4         8         9         5         4         6         7         6
Vardas62001         Pavarde62001        2         9         9         4         8         10        9         7         1
Vardas62002         Pavarde62002        5         7         2         9         4         6         6         1         8
Vardas62003         Pavarde62003        6         3         8         5         1         8         5         7         2
Vardas62004         Pavarde62004        1         3         2         2         7         10        4         4         7
Vardas62005         Pavarde62005        10        1         8         7         2         3         5         10        2
Vardas62006         Pavarde62006        9         4         2         8         6         4         7         2         10
Vardas62007         Pavarde62007        8         7         6         4         9         7         4         4         7
Vardas62008         Pavarde62008        9         7         2         4         6         7         9         4         3
Vardas62009         Pavarde62009        5         3         2         5         4         6         2         7         9
Vardas62010         Pavarde62010        2         3         3         6         10        4         8         1         4
Vardas62011         Pavarde62011        10        3         2         6         1         2         5         3         9
Vardas62012         Pavarde62012        6         10        1         2         5         7         7         9         2
Vardas62013         Pavarde62013        6         4         6         1         4         6         1         2         1
Vardas62014         Pavarde62014        6         3         6         10        2         1         5         9         4
Vardas62015         Pavarde62015        9         2         5         4         8         3         4         6         4
Vardas62016         Pavarde62016        1         5         7         1         1         4         8         10        1
Vardas62017         Pavarde62017        6         9         7         10        2         9         9         6         7
Vardas62018         Pavarde62018        1         1         9         1         8         5         10        3         9
Vardas62019         Pavarde62019        4         9         5         7         7         7         10        7         5
Vardas62020         Pavarde62020        7         1         7         6         1         9         8         3         2
Vardas62021         Pavarde62021        6         9         1         9         3         4         1         8         10
Vardas62022         Pavarde62022        7         4         2         4         3         10        9         4         2
